순번,분류체계ID,분류체계명,상위과제ID,분류체계단계,시행시기,수행기관,기관코드,분류체계경로
1,P2000120140320000078952,문화유산의 보존과 가치창출로 민족문화 발전에 기여, ,임무,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"""
2,P2000220140321000069338,문화유산 보호체계 고도화로 지역경제 활력을 증진한다.,P2000120140320000078952,전략목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다."
3,P2000320140619000081727,문화재 안전관리 체계를 고도화한다(Ⅰ-2),P2000220140321000069338,성과목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 안전관리 체계를 고도화한다(Ⅰ-2)"
4,P2000420140619000081730,문화재 수리 관리 체계 개선(Ⅰ-2-③),P2000320140619000081727,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 안전관리 체계를 고도화한다(Ⅰ-2)>>문화재 수리 관리 체계 개선(Ⅰ-2-③)"
5,P2000420140619000081729,문화재 점검 관리 체계 강화(Ⅰ-2-②),P2000320140619000081727,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 안전관리 체계를 고도화한다(Ⅰ-2)>>문화재 점검 관리 체계 강화(Ⅰ-2-②)"
6,P2000420140619000081728,예방적 문화재 안전관리 체계 구축(Ⅰ-2-①),P2000320140619000081727,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 안전관리 체계를 고도화한다(Ⅰ-2)>>예방적 문화재 안전관리 체계 구축(Ⅰ-2-①)"
7,P2000320140619000081676,문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1),P2000220140321000069338,성과목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)"
8,P2000420140619000081681,건조물 동산문화재 보존 및 접근성 강화(Ⅰ-1-③),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>건조물 동산문화재 보존 및 접근성 강화(Ⅰ-1-③)"
9,P2000420140619000081720,고도 역사문화환경 정체성 회복(Ⅰ-1-⑥),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>고도 역사문화환경 정체성 회복(Ⅰ-1-⑥)"
10,P2000420140619000081699,근 현대 문화유산 체계적 조사 보호(Ⅰ-1-④),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>근 현대 문화유산 체계적 조사 보호(Ⅰ-1-④)"
11,P2000420130621000076188,무형문화재 전승체계 정립 활성화(Ⅰ-1-①),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>무형문화재 전승체계 정립 활성화(Ⅰ-1-①)"
12,P2000420140619000081680,소통 협력형 매장문화재 보존관리(Ⅰ-1-②),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>소통 협력형 매장문화재 보존관리(Ⅰ-1-②)"
13,P2000420140619000081722,역사문화환경 관리 체계 개선(Ⅰ-1-⑦),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>역사문화환경 관리 체계 개선(Ⅰ-1-⑦)"
14,P2000420140619000081706,자연유산 보호 활용기반조성(Ⅰ-1-⑤),P2000320140619000081676,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 유형별 보존 관리 체계를 개선한다(Ⅰ-1)>>자연유산 보호 활용기반조성(Ⅰ-1-⑤)"
15,P2000320140620000081779,문화재 조사 연구 교육역량을 강화한다(Ⅰ-3),P2000220140321000069338,성과목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 조사 연구 교육역량을 강화한다(Ⅰ-3)"
16,P2000420140620000081780,문화재 조사 연구 경쟁력 강화(Ⅰ-3-①),P2000320140620000081779,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 조사 연구 교육역량을 강화한다(Ⅰ-3)>>문화재 조사 연구 경쟁력 강화(Ⅰ-3-①)"
17,P2000420130621000076200,수중문화재 조사 및 보존·활용(Ⅰ-3-④),P2000320140620000081779,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 조사 연구 교육역량을 강화한다(Ⅰ-3)>>수중문화재 조사 및 보존·활용(Ⅰ-3-④)"
18,P2000420140620000081782,전통문화교육원 교육과정 내실화(Ⅰ-3-③),P2000320140620000081779,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 조사 연구 교육역량을 강화한다(Ⅰ-3)>>전통문화교육원 교육과정 내실화(Ⅰ-3-③)"
19,P2000420130621000076198,한국전통문화대학교 경쟁력 강화(Ⅰ-3-②),P2000320140620000081779,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 보호체계 고도화로 지역경제 활력을 증진한다.>>문화재 조사 연구 교육역량을 강화한다(Ⅰ-3)>>한국전통문화대학교 경쟁력 강화(Ⅰ-3-②)"
20,P2000220140321000069340,문화유산 세계화로 문화국가 품격을 제고한다.,P2000120140320000078952,전략목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 세계화로 문화국가 품격을 제고한다."
21,P2000320140620000081795,세계유산 가치제고 및 국제교류를 내실화 한다(Ⅲ-1),P2000220140321000069340,성과목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 세계화로 문화국가 품격을 제고한다.>>세계유산 가치제고 및 국제교류를 내실화 한다(Ⅲ-1)"
22,P2000420140620000081846,국외소재 문화재 환수·활용기반 확대(Ⅲ-1-②),P2000320140620000081795,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 세계화로 문화국가 품격을 제고한다.>>세계유산 가치제고 및 국제교류를 내실화 한다(Ⅲ-1)>>국외소재 문화재 환수·활용기반 확대(Ⅲ-1-②)"
23,P2000420140620000081858,문화재 교류를 통한 민족동질성 회복(Ⅲ-1-③),P2000320140620000081795,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 세계화로 문화국가 품격을 제고한다.>>세계유산 가치제고 및 국제교류를 내실화 한다(Ⅲ-1)>>문화재 교류를 통한 민족동질성 회복(Ⅲ-1-③)"
24,P2000420140620000081859,아리랑 전승 기반구축 및 가치 확산(Ⅲ-1-④),P2000320140620000081795,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 세계화로 문화국가 품격을 제고한다.>>세계유산 가치제고 및 국제교류를 내실화 한다(Ⅲ-1)>>아리랑 전승 기반구축 및 가치 확산(Ⅲ-1-④)"
25,P2000420140620000081825,유네스코 등재유산 확대 및 가치보존(Ⅲ-1-①),P2000320140620000081795,관리과제,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 세계화로 문화국가 품격을 제고한다.>>세계유산 가치제고 및 국제교류를 내실화 한다(Ⅲ-1)>>유네스코 등재유산 확대 및 가치보존(Ⅲ-1-①)"
26,P2000220140321000069339,문화유산 향유기반을 넓혀 국민 행복지수를 높인다.,P2000120140320000078952,전략목표,2014-10-06,문화재청,1550000,">>""문화유산의 보존과 가치창출로 민족문화 발전에 기여"">>문화유산 향유기반을 넓혀 국민 행복지수를 높인다."
